Time,Ambient,Heater,Duty Cycle
2019-04-25 18:34:20
2019-04-25 18:34:21,19.0
2019-04-25 18:34:21,20.37,19.0
2019-04-25 18:34:21,20.37,19.0,100.0
2019-04-25 18:34:22,20.37,19.0,72.9
2019-04-25 18:34:22,20.37,19.0,72.9
2019-04-25 18:34:22,20.44,19.0,72.9
2019-04-25 18:34:23,20.37,19.0,72.9
2019-04-25 18:34:23,20.44,19.0,72.9
2019-04-25 18:34:24,20.44,19.0,72.9
2019-04-25 18:34:24,20.44,19.0,72.9
2019-04-25 18:34:24,20.44,19.0,72.9
2019-04-25 18:34:25,20.44,19.0,72.9
2019-04-25 18:34:25,20.37,19.0,72.9
2019-04-25 18:34:25,20.44,19.0,72.9
2019-04-25 18:34:26,20.44,19.0,72.9
2019-04-25 18:34:26,20.44,19.0,72.9
2019-04-25 18:34:26,20.37,19.0,72.9
2019-04-25 18:34:27,20.37,19.0,72.9
2019-04-25 18:34:27,20.44,19.0,72.9
2019-04-25 18:34:28,20.44,19.0,72.9
2019-04-25 18:34:28,20.44,19.0,72.9
2019-04-25 18:34:28,20.44,19.0,72.9
2019-04-25 18:34:29,20.44,19.0,72.9
2019-04-25 18:34:29,20.37,19.0,72.9
2019-04-25 18:34:29,20.44,19.0,72.9
2019-04-25 18:34:30,20.44,19.0,72.9
2019-04-25 18:34:30,20.44,19.0,72.9
2019-04-25 18:34:31,20.37,19.0,72.9
2019-04-25 18:34:31,20.37,19.0,72.9
2019-04-25 18:34:31,20.44,19.0,72.9
2019-04-25 18:34:32,20.37,19.0,72.9
2019-04-25 18:34:32,20.37,19.0,72.9
2019-04-25 18:34:32,20.37,19.0,72.9
2019-04-25 18:34:33,20.37,19.0,72.9
2019-04-25 18:34:33,20.37,19.0,72.9
2019-04-25 18:34:34,20.37,19.0,72.9
2019-04-25 18:34:34,20.37,19.0,72.9
2019-04-25 18:34:34,20.37,19.0,72.9
2019-04-25 18:34:35,20.37,19.0,72.9
2019-04-25 18:34:35,20.44,19.0,72.9
2019-04-25 18:34:35,20.37,19.0,72.9
2019-04-25 18:34:36,20.5,19.0,72.9
2019-04-25 18:34:36,20.37,19.0,72.9
2019-04-25 18:34:37,20.37,19.25,72.9
2019-04-25 18:34:37,20.44,19.5,77.0
2019-04-25 18:34:37,20.37,19.5,74.9
2019-04-25 18:34:38,20.37,20.0,70.1
2019-04-25 18:34:38,20.5,20.25,80.1
2019-04-25 18:34:38,20.37,20.5,71.5
2019-04-25 18:34:39,20.37,20.75,72.5
2019-04-25 18:34:39,20.37,21.25,71.9
2019-04-25 18:34:40,20.37,21.75,75.5
2019-04-25 18:34:40,20.37,22.25,72.8
2019-04-25 18:34:40,20.37,22.75,71.6
2019-04-25 18:34:41,20.31,23.25,70.4
2019-04-25 18:34:41,20.44,24.0,69.2
2019-04-25 18:34:41,20.37,24.5,72.2
2019-04-25 18:34:42,20.44,25.0,64.7
2019-04-25 18:34:42,20.44,25.25,65.1
2019-04-25 18:34:42,20.44,26.25,59.8
2019-04-25 18:34:43,20.44,26.75,73.2
2019-04-25 18:34:43,20.44,27.25,57.8
2019-04-25 18:34:44,20.44,28.0,59.8
2019-04-25 18:34:44,20.31,28.75,62.8
2019-04-25 18:34:44,20.44,29.25,59.4
2019-04-25 18:34:45,20.44,30.0,53.5
2019-04-25 18:34:45,20.44,30.5,58.1
2019-04-25 18:34:45,20.31,31.0,50.6
2019-04-25 18:34:46,20.37,31.25,51.0
2019-04-25 18:34:46,20.44,32.25,45.7
2019-04-25 18:34:47,20.37,32.75,59.1
2019-04-25 18:34:47,20.37,33.25,43.7
2019-04-25 18:34:47,19.69,34.0,45.7
2019-04-25 18:34:48,20.44,34.75,48.7
2019-04-25 18:34:48,20.44,35.0,45.3
2019-04-25 18:34:48,20.37,35.25,35.2
2019-04-25 18:34:49,20.37,36.25,37.8
2019-04-25 18:34:49,20.44,36.75,49.7
2019-04-25 18:34:50,20.37,37.0,34.3
2019-04-25 18:34:50,20.37,37.5,32.1
2019-04-25 18:34:50,20.44,38.0,37.3
2019-04-25 18:34:51,20.44,38.5,34.5
2019-04-25 18:34:51,20.37,39.25,33.4
2019-04-25 18:34:51,20.5,39.5,36.3
2019-04-25 18:34:52,20.44,39.75,24.7
2019-04-25 18:34:52,20.44,40.25,27.2
2019-04-25 18:34:53,20.25,40.75,30.8
2019-04-25 18:34:53,20.37,41.0,28.0
2019-04-25 18:34:53,20.44,41.5,22.7
2019-04-25 18:34:54,20.44,41.75,27.9
2019-04-25 18:34:54,20.44,42.0,20.9
2019-04-25 18:34:54,20.37,42.75,21.9
2019-04-25 18:34:55,20.44,43.0,29.6
2019-04-25 18:34:55,20.62,43.25,16.4
2019-04-25 18:34:56,20.37,43.25,19.0
2019-04-25 18:34:56,20.44,43.75,14.3
2019-04-25 18:34:56,20.44,44.0,24.2
2019-04-25 18:34:57,20.44,44.5,15.7
2019-04-25 18:34:57,20.44,44.75,20.8
2019-04-25 18:34:57,20.44,45.0,13.9
2019-04-25 18:34:58,20.44,45.0,14.9
2019-04-25 18:34:58,20.44,45.5,10.1
2019-04-25 18:34:58,20.44,45.5,20.3
2019-04-25 18:34:59,20.44,45.75,7.9
2019-04-25 18:34:59,20.44,46.0,15.5
2019-04-25 18:35:00,20.44,46.25,13.5
2019-04-25 18:35:00,20.44,46.5,13.2
2019-04-25 18:35:00,20.44,46.75,12.8
2019-04-25 18:35:01,20.06,47.0,12.4
2019-04-25 18:35:01,20.44,47.0,12.0
2019-04-25 18:35:01,20.44,47.0,7.4
2019-04-25 18:35:02,20.44,47.25,9.2
2019-04-25 18:35:02,20.56,47.25,13.5
2019-04-25 18:35:03,20.44,47.5,7.3
2019-04-25 18:35:03,20.44,47.75,13.2
2019-04-25 18:35:03,20.56,47.75,11.2
2019-04-25 18:35:04,20.44,48.0,6.6
2019-04-25 18:35:04,20.44,47.75,12.4
2019-04-25 18:35:04,20.25,48.25,2.1
2019-04-25 18:35:05,20.5,48.25,18.5
2019-04-25 18:35:05,20.44,48.25,4.3
2019-04-25 18:35:06,20.44,48.5,7.5
2019-04-25 18:35:06,20.44,48.5,11.8
2019-04-25 18:35:06,20.44,48.75,5.5
2019-04-25 18:35:07,20.44,49.0,11.4
2019-04-25 18:35:07,20.62,49.0,9.2
2019-04-25 18:35:07,20.5,48.75,4.5
2019-04-25 18:35:08,20.37,49.0,2.0
2019-04-25 18:35:08,20.44,49.0,12.6
2019-04-25 18:35:09,20.44,49.25,4.7
2019-04-25 18:35:09,20.5,49.25,10.5
2019-04-25 18:35:09,20.37,49.25,4.2
2019-04-25 18:35:10,20.5,49.5,5.9
2019-04-25 18:35:10,20.5,49.5,10.1
2019-04-25 18:35:10,21.0,49.5,3.8
2019-04-25 18:35:11,20.56,49.5,5.4
2019-04-25 18:35:11,20.44,49.5,5.4
2019-04-25 18:35:11,20.5,49.75,5.4
2019-04-25 18:35:12,20.44,49.5,9.6
2019-04-25 18:35:12,20.44,49.75
2019-04-25 18:35:13,20.44,50.0,11.3
2019-04-25 18:35:13,20.44,50.0,7.5
2019-04-25 18:35:13,20.5,50.0,2.7
2019-04-25 18:35:14,20.44,50.0,4.3
2019-04-25 18:35:14,20.5,50.0,4.3
2019-04-25 18:35:14,20.5,50.0,4.3
2019-04-25 18:35:15,20.5,50.25,4.3
2019-04-25 18:35:15,20.25,50.0,8.5
